# E0 =  0.4490     Rays from file a015-235.ray               13 May 99  22:02:11
# Counter data from files E-CTRS.DAT                 T-CTRS.DAT                 
# Energy from 0.19000 to 0.96000, step 0.00000, number 1.5400E+06       unif. k
# Angle  from  0.0000 to  0.0000, step 0.00000
#                                                             
#     Tctr      kmin kminfirst      kmax
        51   0.26362   0.27175   0.27251
        52   0.25585   0.26362   0.26476
        53   0.24790   0.25585   0.25682
        54   0.23991   0.24790   0.24885
        55   0.23193   0.23991   0.24087
        56   0.22419   0.23193   0.23313
        57   0.21840   0.22419   0.22536
        58   0.21264   0.21840   0.21959
        59   0.20665   0.21264   0.21361
        60   0.20090   0.20665   0.20786
        61   0.19434   0.20090   0.20180
# E0 =  6.1204     Rays from file a24-235.ray                13 May 99  22:35:42
# Counter data from files E-CTRS.DAT                 T-CTRS.DAT                 
# Energy from 0.19000 to 0.96000, step 0.00000, number 1.5400E+06       unif. k
# Angle  from  0.0000 to  0.0000, step 0.00000
#                                                             
#     Tctr      kmin kminfirst      kmax
         1   0.94544   0.95441   0.95441
         2   0.93534   0.94544   0.94643
         3   0.92284   0.93534   0.93604
         4   0.91386   0.92284   0.92362
         5   0.90515   0.91386   0.91494
         6   0.89551   0.90515   0.90601
         7   0.88735   0.89551   0.89675
         8   0.87830   0.88735   0.88820
         9   0.86856   0.87830   0.87892
        10   0.85859   0.86856   0.86992
        11   0.84805   0.85859   0.85941
        12   0.83674   0.84805   0.84916
        13   0.82506   0.83674   0.83743
        14   0.81414   0.82506   0.82577
        15   0.80651   0.81414   0.81546
        16   0.79917   0.80651   0.80830
        17   0.79066   0.79917   0.79999
        18   0.78220   0.79066   0.79174
        19   0.77284   0.78220   0.78258
        20   0.75335   0.77284   0.78258
        21   0.72456   0.75335   0.75595
        22   0.69704   0.72456   0.72706
        23   0.67160   0.69704   0.69973
        24   0.64676   0.67160   0.67306
        25   0.62285   0.64676   0.64904
        26   0.59886   0.62285   0.62525
        27   0.57905   0.59886   0.60138
        28   0.55905   0.57905   0.58131
        29   0.53917   0.55905   0.56130
        30   0.51948   0.53917   0.54147
        31   0.49898   0.51948   0.52126
        32   0.48353   0.49898   0.50154
        33   0.46738   0.48353   0.48559
        34   0.45133   0.46738   0.46973
        35   0.43537   0.45133   0.45389
        36   0.42165   0.43537   0.43800
        37   0.40752   0.42165   0.42401
