ecal_channel_id pedestal noise
431 131.701   5.087
432  91.310   5.173
433 113.641   5.213
434 126.893   5.052
435 143.690   4.817
436  98.895   4.689
437 138.952   5.417
438 149.702   4.855
439 117.226   4.478
440 132.795   4.702
441 139.234   4.467
442 122.899   6.457
