######## Translation table for ROC # 17
######## Tue Feb  3 20:05:17 EST 1998
######## By uid=1990(serov) gid=146(clas)
######## Version # 1
#######################################################
#######################################################
##bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
REF     0       17      4       0       310     0       17      4       1190    0
REF     0       17      5       0       310     0       17      5       1190    0
REF     0       17      6       0       310     0       17      6       1190    0
REF     0       17      7       0       310     0       17      7       1190    0
#######################################################
#######################################################
##bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
TAGE	1	0	180	0	710	0	17	5	1190	51
TAGE	1	0	181	0	710	0	17	5	1190	52
TAGE	1	0	182	0	710	0	17	5	1190	53
TAGE	1	0	183	0	710	0	17	5	1190	54
TAGE	1	0	184	0	710	0	17	5	1190	55
TAGE	1	0	185	0	710	0	17	5	1190	56
TAGE	1	0	186	0	710	0	17	5	1190	57
TAGE	1	0	187	0	710	0	17	5	1190	58
TAGE	1	0	188	0	710	0	17	5	1190	59
TAGE	1	0	189	0	710	0	17	5	1190	60
TAGE	1	0	190	0	710	0	17	5	1190	61
TAGE	1	0	191	0	710	0	17	5	1190	62
TAGE	1	0	192	0	710	0	17	5	1190	63
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
TAGE	1	0	193	0	710	0	17	5	1190	64
TAGE	1	0	194	0	710	0	17	5	1190	65
TAGE	1	0	195	0	710	0	17	5	1190	66
TAGE	1	0	196	0	710	0	17	5	1190	67
TAGE	1	0	197	0	710	0	17	5	1190	68
TAGE	1	0	198	0	710	0	17	5	1190	69
TAGE	1	0	199	0	710	0	17	5	1190	70
TAGE	1	0	200	0	710	0	17	5	1190	71
TAGE	1	0	201	0	710	0	17	5	1190	72
TAGE	1	0	202	0	710	0	17	5	1190	73
TAGE	1	0	203	0	710	0	17	5	1190	74
TAGE	1	0	204	0	710	0	17	5	1190	75
TAGE	1	0	205	0	710	0	17	5	1190	76
TAGE	1	0	206	0	710	0	17	5	1190	77
TAGE	1	0	207	0	710	0	17	5	1190	78
TAGE	1	0	208	0	710	0	17	5	1190	79
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
TAGE	1	0	209	0	710	0	17	5	1190	80
TAGE	1	0	210	0	710	0	17	5	1190	81
TAGE	1	0	211	0	710	0	17	5	1190	82
TAGE	1	0	212	0	710	0	17	5	1190	83
TAGE	1	0	213	0	710	0	17	5	1190	84
TAGE	1	0	214	0	710	0	17	5	1190	85
TAGE	1	0	215	0	710	0	17	5	1190	86
TAGE	1	0	216	0	710	0	17	5	1190	87
TAGE	1	0	217	0	710	0	17	5	1190	88
TAGE	1	0	218	0	710	0	17	5	1190	89
TAGE	1	0	219	0	710	0	17	5	1190	90
TAGE	1	0	220	0	710	0	17	5	1190	91
TAGE	1	0	221	0	710	0	17	5	1190	92
TAGE	1	0	222	0	710	0	17	5	1190	93
TAGE	1	0	223	0	710	0	17	5	1190	94
TAGE	1	0	224	0	710	0	17	5	1190	95
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
TAGE	1	0	225	0	710	0	17	5	1190	96
TAGE	1	0	226	0	710	0	17	5	1190	97
TAGE	1	0	227	0	710	0	17	5	1190	98
TAGE	1	0	228	0	710	0	17	5	1190	99
TAGE	1	0	229	0	710	0	17	5	1190	100
TAGE	1	0	230	0	710	0	17	5	1190	101
TAGE	1	0	231	0	710	0	17	5	1190	102
TAGE	1	0	232	0	710	0	17	5	1190	103
TAGE	1	0	233	0	710	0	17	5	1190	104
TAGE	1	0	234	0	710	0	17	5	1190	105
TAGE	1	0	235	0	710	0	17	5	1190	106
TAGE	1	0	236	0	710	0	17	5	1190	107
TAGE	1	0	237	0	710	0	17	5	1190	108
TAGE	1	0	238	0	710	0	17	5	1190	109
TAGE	1	0	239	0	710	0	17	5	1190	110
TAGE	1	0	240	0	710	0	17	5	1190	111
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
TAGE	1	0	241	0	710	0	17	5	1190	112
TAGE	1	0	242	0	710	0	17	5	1190	113
TAGE	1	0	243	0	710	0	17	5	1190	114
TAGE	1	0	244	0	710	0	17	5	1190	115
TAGE	1	0	245	0	710	0	17	5	1190	116
TAGE	1	0	246	0	710	0	17	5	1190	117
TAGE	1	0	247	0	710	0	17	5	1190	118
TAGE	1	0	248	0	710	0	17	5	1190	119
TAGE	1	0	249	0	710	0	17	5	1190	120
TAGE	1	0	250	0	710	0	17	5	1190	121
TAGE	1	0	251	0	710	0	17	5	1190	122
TAGE	1	0	252	0	710	0	17	5	1190	123
TAGE	1	0	253	0	710	0	17	5	1190	124
TAGE	1	0	254	0	710	0	17	5	1190	125
TAGE	1	0	255	0	710	0	17	5	1190	126
TAGE	1	1	0	0	710	0	17	5	1190	127
#
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
TAGE	1	1	1	0	710	0	17	7	1190	48
TAGE	1	1	2	0	710	0	17	7	1190	49
TAGE	1	1	3	0	710	0	17	7	1190	50
TAGE	1	1	4	0	710	0	17	7	1190	51
TAGE	1	1	5	0	710	0	17	7	1190	52
TAGE	1	1	6	0	710	0	17	7	1190	53
TAGE	1	1	7	0	710	0	17	7	1190	54
TAGE	1	1	8	0	710	0	17	7	1190	55
TAGE	1	1	9	0	710	0	17	7	1190	56
TAGE	1	1	10	0	710	0	17	7	1190	57
TAGE	1	1	11	0	710	0	17	7	1190	58
TAGE	1	1	12	0	710	0	17	7	1190	59
TAGE	1	1	13	0	710	0	17	7	1190	60
TAGE	1	1	14	0	710	0	17	7	1190	61
TAGE	1	1	15	0	710	0	17	7	1190	62
TAGE	1	1	16	0	710	0	17	7	1190	63
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
TAGE	1	1	17	0	710	0	17	6	1190	16
TAGE	1	1	18	0	710	0	17	6	1190	17
TAGE	1	1	19	0	710	0	17	6	1190	18
TAGE	1	1	20	0	710	0	17	6	1190	19
TAGE	1	1	21	0	710	0	17	6	1190	20
TAGE	1	1	22	0	710	0	17	6	1190	21
TAGE	1	1	23	0	710	0	17	6	1190	22
TAGE	1	1	24	0	710	0	17	6	1190	23
TAGE	1	1	25	0	710	0	17	6	1190	24
TAGE	1	1	26	0	710	0	17	6	1190	25
TAGE	1	1	27	0	710	0	17	6	1190	26
TAGE	1	1	28	0	710	0	17	6	1190	27
TAGE	1	1	29	0	710	0	17	6	1190	28
TAGE	1	1	30	0	710	0	17	6	1190	29
TAGE	1	1	31	0	710	0	17	6	1190	30
TAGE	1	1	32	0	710	0	17	6	1190	31
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
TAGE	1	1	33	0	710	0	17	6	1190	32
TAGE	1	1	34	0	710	0	17	6	1190	33
TAGE	1	1	35	0	710	0	17	6	1190	34
TAGE	1	1	36	0	710	0	17	6	1190	35
TAGE	1	1	37	0	710	0	17	6	1190	36
TAGE	1	1	38	0	710	0	17	6	1190	37
TAGE	1	1	39	0	710	0	17	6	1190	38
TAGE	1	1	40	0	710	0	17	6	1190	39
TAGE	1	1	41	0	710	0	17	6	1190	40
TAGE	1	1	42	0	710	0	17	6	1190	41
TAGE	1	1	43	0	710	0	17	6	1190	42
TAGE	1	1	44	0	710	0	17	6	1190	43
TAGE	1	1	45	0	710	0	17	6	1190	44
TAGE	1	1	46	0	710	0	17	6	1190	45
TAGE	1	1	47	0	710	0	17	6	1190	46
TAGE	1	1	48	0	710	0	17	6	1190	47
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
TAGE	1	1	49	0	710	0	17	6	1190	48
TAGE	1	1	50	0	710	0	17	6	1190	49
TAGE	1	1	51	0	710	0	17	6	1190	50
TAGE	1	1	52	0	710	0	17	6	1190	51
TAGE	1	1	53	0	710	0	17	6	1190	52
TAGE	1	1	54	0	710	0	17	6	1190	53
TAGE	1	1	55	0	710	0	17	6	1190	54
TAGE	1	1	56	0	710	0	17	6	1190	55
TAGE	1	1	57	0	710	0	17	6	1190	56
TAGE	1	1	58	0	710	0	17	6	1190	57
TAGE	1	1	59	0	710	0	17	6	1190	58
TAGE	1	1	60	0	710	0	17	6	1190	59
TAGE	1	1	61	0	710	0	17	6	1190	60
TAGE	1	1	62	0	710	0	17	6	1190	61
TAGE	1	1	63	0	710	0	17	6	1190	62
TAGE	1	1	64	0	710	0	17	6	1190	63
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
